time,stock_name,bias_index,intc,log_returns,expected_return,bias_score_regression
2020-03-26,AAPL,0.1431088398395041,157.5686492919922,0.12095441577477328,0.0004994175086221657,0.12045499826615112
2024-03-21,AAPL,-0.1294735023810404,336.013916015625,-0.09769707995316984,0.00039251528277348217,0.09808959523594332
2020-03-16,AAPL,-0.0057966922607132,140.27963256835938,-0.08762863349223678,0.0004410192547476854,0.08806965274698446
2020-03-13,AAPL,-0.4039862856124891,153.12681579589844,0.08769379129352234,0.0002848559703165683,0.08740893532320577
2020-03-24,AAPL,0.0547073060471231,144.24325561523438,0.08763179714345423,0.0004647479087726019,0.08716704923468163
2020-04-06,AAPL,0.1583894627262957,152.70382690429688,0.0874219311985957,0.0005054103127988599,0.08691652088579685
2020-03-09,AAPL,-0.1770156002973623,150.9197235107422,-0.08545116679584024,0.0003738700688268694,0.08582503686466711
2020-03-12,AAPL,-0.1426928482884661,140.27049255371094,-0.07925064283906866,0.00038733087687889894,0.07963797371594755
2018-03-22,AAPL,-0.0430891626233997,133.4998321533203,-0.07561410391583234,0.0004263937729329401,0.07604049768876528
2025-03-20,AAPL,-0.028995008927543,297.9351501464844,-0.07538178816306704,0.0004319212637794362,0.07581370942684647
2022-11-10,AAPL,0.0652314511215476,274.1472473144531,0.07440283759367758,0.000468875302074917,0.07393396229160266
2020-06-25,AAPL,-0.0647513645473983,200.7547912597656,0.07389584130487123,0.0004178982204199111,0.07347794308445132
2020-09-24,AAPL,-0.0831180785950533,198.801513671875,-0.07296460139135866,0.0004106951030160992,0.07337529649437476
2025-06-20,AAPL,-0.2914602875446196,283.9498596191406,-0.07103961888036671,0.0003289867807032774,0.07136860566106999
2024-06-20,AAPL,-0.0799022500493494,299.3140869140625,0.070391195508121,0.0004119562970710147,0.06997923921104998
2023-03-23,AAPL,0.0663178754895564,260.5374450683594,0.07009508693005641,0.0004693013795024211,0.06962578555055399
2024-12-19,AAPL,-0.1549762153797368,366.92138671875,0.06824264467786045,0.0003825135461880104,0.06786013113167244
2020-06-11,AAPL,0.1429883667691227,181.013671875,-0.06653010804620457,0.000499370261103219,0.0670294783073078
2020-12-17,AAPL,-0.0340765371639079,246.166015625,0.06651933177430137,0.00042992837357695636,0.06608940340072442
2016-06-24,AAPL,-0.1018289344041377,96.08185577392578,-0.06479047172516833,0.00040335701898163703,0.06519382874414997
2021-12-16,AAPL,-0.0189914454318756,377.4833984375,0.06523804111632459,0.0004358444937120642,0.06480219662261252
2025-04-09,AAPL,-0.0005712800226356,296.9747314453125,0.06384072612415212,0.000443068573843988,0.06339765755030813
2022-12-16,AAPL,-0.0249277030415728,252.6181640625,-0.06101578347775845,0.00043351639297553753,0.061449299870733984
2020-03-10,AAPL,-0.0929160989591922,160.52981567382812,0.061731629686483484,0.00040685248365453507,0.06132477720282895
2022-05-18,AAPL,0.2229689513892551,259.7805480957031,-0.05985208097233606,0.000530737305831499,0.06038281827816756
2016-03-24,AAPL,0.0060956362651796,97.5912628173828,0.059848439601407406,0.0004456832266674553,0.05940275637473995
2022-11-03,AAPL,-0.0117806106731603,245.3589782714844,-0.05884600468025991,0.00043867246224316603,0.05928467714250308
2018-06-28,AAPL,-0.1758008895651805,147.4706573486328,0.05729446179947766,0.0003743464580161862,0.05692011534146148
2025-04-04,AAPL,-0.0197892748526696,282.2418212890625,-0.05593771750951009,0.0004355315983856992,0.05637324910789579
2020-03-11,AAPL,-0.1895356560674727,151.83938598632812,-0.05565640172246033,0.0003689599128032942,0.05602536163526362
2020-03-20,AAPL,0.0410695613657414,137.88865661621094,-0.055519478550361885,0.0004593994138916819,0.05597887796425357
2025-02-21,AAPL,0.1261273376630727,360.6588745117187,-0.054959639491237854,0.0004927576480966223,0.055452397139334475
2020-04-01,AAPL,-0.6160891220085485,142.2476348876953,-0.05398593614684067,0.00020167279295135095,0.05418760893979202
2024-09-26,AAPL,0.0219120254709738,349.37945556640625,0.054165710930327834,0.0004518861494144485,0.05371382478091338
2022-05-05,AAPL,0.1446436669104358,283.03350830078125,-0.0526881086587227,0.0005000194420740497,0.05318812810079675
2016-12-21,AAPL,-0.2034562718160743,102.69974517822266,-0.05125088598419334,0.00036350048063103074,0.05161438646482437
2018-12-20,AAPL,0.218297404708477,129.82032775878906,-0.05068014709159986,0.000528905203523393,0.05120905229512326
2020-03-27,AAPL,0.098276376794224,149.78858947753906,-0.05063633535329812,0.0004818349680556107,0.051118170321353726
2020-04-21,AAPL,0.0677232132662473,153.5683135986328,-0.04986698064660716,0.00046985252942348225,0.050336833176030646
2019-03-28,AAPL,-0.045900941554018,158.42608642578125,0.05065633888954376,0.0004252910403647596,0.050231047849179
2022-01-06,AAPL,-0.0355686953652899,356.18756103515625,-0.04949519563464224,0.00042934317414053413,0.049924538808782774
2024-09-17,AAPL,0.0666504384820228,330.94866943359375,-0.04943427561000937,0.0004694318051339567,0.04990370741514333
2020-04-29,AAPL,0.0015132320810148,173.2632293701172,0.05029465347650226,0.0004438860845523979,0.049850767391949866
2020-02-27,AAPL,-0.1494830451345219,171.45497131347656,-0.048320015477061384,0.000384667875486803,0.04870468335254819
2025-04-03,AAPL,-0.03976322709072,298.4797058105469,-0.04814853687354551,0.0004276981491026372,0.04857623502264815
2022-09-13,AAPL,0.2195344202675333,267.70343017578125,-0.04765298236369385,0.0005293903402919573,0.04818237270398581
2020-03-02,AAPL,0.5488389892126067,174.31503295898438,0.048423802455920914,0.0006585380727371015,0.04776526438318381
