time,stock_name,bias_index,intc,v,rel_vol,z_score_price,is_volume_shock,silent_anomaly
2020-03-26,AAPL,0.1431088398395041,157.5686492919922,5194500,1.5938126502301508,7.480979299143722,False,False
2024-03-21,AAPL,-0.1294735023810404,336.013916015625,9574800,4.5093362871869065,-6.093033958475428,True,False
2020-03-16,AAPL,-0.0057966922607132,140.27963256835938,5324900,1.949398878296651,-5.467978889497604,False,True
2020-03-13,AAPL,-0.4039862856124891,153.12681579589844,5742800,2.1478978069210872,5.416140199085856,False,False
2020-03-24,AAPL,0.0547073060471231,144.24325561523438,4685100,1.485727803985788,5.4122915658436375,False,True
2020-04-06,AAPL,0.1583894627262957,152.70382690429688,3090000,0.9154221073550168,5.399262964743296,False,False
2020-03-09,AAPL,-0.1770156002973623,150.9197235107422,5112200,2.1853994353750688,-5.332800478270602,False,False
2020-03-12,AAPL,-0.1426928482884661,140.27049255371094,6357900,2.4583489286410276,-4.9478683097839715,False,False
2018-03-22,AAPL,-0.0430891626233997,133.4998321533203,8203600,3.4176682567125627,-4.722109837876342,True,True
2025-03-20,AAPL,-0.028995008927543,297.9351501464844,10699500,3.401132407503948,-4.707687539517526,True,True
2022-11-10,AAPL,0.0652314511215476,274.1472473144531,3121400,1.347305647685659,4.591029988302885,False,True
2020-06-25,AAPL,-0.0647513645473983,200.7547912597656,4690200,1.9695319264728235,4.559555360960824,False,True
2020-09-24,AAPL,-0.0831180785950533,198.801513671875,4828600,2.776528712340677,-4.557627165239839,False,True
2025-06-20,AAPL,-0.2914602875446196,283.9498596191406,11697400,3.6655406464066584,-4.438123120513789,True,False
2024-06-20,AAPL,-0.0799022500493494,299.3140869140625,11374600,3.4410924756165446,4.341984891799532,True,True
2023-03-23,AAPL,0.0663178754895564,260.5374450683594,5166900,2.171997629126434,4.323602297383875,False,True
2024-12-19,AAPL,-0.1549762153797368,366.92138671875,6075500,2.5021601234215036,4.208601594523061,False,False
2020-06-11,AAPL,0.1429883667691227,181.013671875,4046600,1.6618576041094282,-4.158170039724179,False,False
2020-12-17,AAPL,-0.0340765371639079,246.166015625,4855600,2.627108189937823,4.101617317456679,False,True
2016-06-24,AAPL,-0.1018289344041377,96.08185577392578,6814300,3.4455436933752805,-4.050172395314907,True,False
2021-12-16,AAPL,-0.0189914454318756,377.4833984375,6298500,2.9577837824130557,4.022074040973079,False,True
2025-04-09,AAPL,-0.0005712800226356,296.9747314453125,6702200,1.8237646145799944,3.93532790568746,False,True
2022-12-16,AAPL,-0.0249277030415728,252.6181640625,6532500,3.0299080800331724,-3.815837532234559,True,True
2020-03-10,AAPL,-0.0929160989591922,160.52981567382812,4349500,1.8084893178758328,3.8043939602726398,False,True
2022-05-18,AAPL,0.2229689513892551,259.7805480957031,2666000,1.08572149981063,-3.7435941973150375,False,False
2016-03-24,AAPL,0.0060956362651796,97.5912628173828,6472700,1.86969043100485,3.6874844138899996,False,True
2022-11-03,AAPL,-0.0117806106731603,245.3589782714844,3225500,1.4274814633200772,-3.681136390285855,False,True
2018-06-28,AAPL,-0.1758008895651805,147.4706573486328,5801100,2.756254561211458,3.528931972125802,False,False
2025-04-04,AAPL,-0.0197892748526696,282.2418212890625,4659000,1.3257172645436222,-3.500588214837556,False,True
2020-03-11,AAPL,-0.1895356560674727,151.83938598632812,5188300,2.089555725244949,-3.4831239655751483,False,False
2020-03-20,AAPL,0.0410695613657414,137.88865661621094,6449700,2.131496657856071,-3.4746236946433084,False,True
2025-02-21,AAPL,0.1261273376630727,360.6588745117187,3751700,1.4065924672299983,-3.4398685570880727,False,False
2020-04-01,AAPL,-0.6160891220085485,142.2476348876953,2973100,0.8983320532104093,-3.3794204816617754,False,False
2024-09-26,AAPL,0.0219120254709738,349.37945556640625,4454800,1.8535084266647583,3.334697280813788,False,True
2022-05-05,AAPL,0.1446436669104358,283.03350830078125,2231700,0.8819979464707041,-3.298850589051777,False,False
2016-12-21,AAPL,-0.2034562718160743,102.69974517822266,6032500,2.4666425692827048,-3.2096269614097035,False,False
2018-12-20,AAPL,0.218297404708477,129.82032775878906,6409200,2.473656706221811,-3.1741951557917707,False,False
2020-03-27,AAPL,0.098276376794224,149.78858947753906,3802500,1.1538475543590403,-3.1714752973496076,False,True
2020-04-21,AAPL,0.0677232132662473,153.5683135986328,2711400,0.7510274900325573,-3.123713305355605,False,True
2019-03-28,AAPL,-0.045900941554018,158.42608642578125,5398700,2.7261838274132284,3.116833403647394,False,True
2022-01-06,AAPL,-0.0355686953652899,356.18756103515625,4386600,1.904043433684892,-3.100632673482521,False,True
2024-09-17,AAPL,0.0666504384820228,330.94866943359375,4528800,1.873129476228528,-3.096850722578101,False,True
2020-04-29,AAPL,0.0015132320810148,173.2632293701172,2957600,0.7989311567483697,3.094379760806453,False,True
2020-02-27,AAPL,-0.1494830451345219,171.45497131347656,3040100,1.4241225304700669,-3.0276767991767644,False,False
2025-04-03,AAPL,-0.03976322709072,298.4797058105469,3614800,1.043724515399181,-3.0170313067698946,False,True
2022-09-13,AAPL,0.2195344202675333,267.70343017578125,1789200,0.9936654659597935,-2.9862669917845124,False,False
2020-03-02,AAPL,0.5488389892126067,174.31503295898438,4317900,1.9317872712045183,2.978236230793746,False,False
2020-10-26,AAPL,0.1858304989535654,204.05709838867188,2162100,1.1244562605705442,-2.924157191666848,False,False
2020-03-19,AAPL,-0.0207248708424772,145.7606658935547,6338300,2.154174203200588,2.91978713259645,False,False
2024-10-30,AAPL,0.0461445029773741,341.6916198730469,3916800,1.716350021822465,-2.9102308677964994,False,False
