time,stock_name,flag,positive,negative,into,inth,intl,intc,v,STX,ImpulseHisto,psi,smooth_velocity,macd,b5
2016-01-28,TEST_TICKER,0,0,0,38.156793756190424,38.490157324785514,36.52331176140205,37.23670959472656,10521100,up,0.0,38.30314406319701,0.030402224906931417,1.6088051855638312,1.6088051855638312
2016-01-29,TEST_TICKER,0,0,0,35.616555244417135,36.8766714152716,35.616555244417135,36.60331344604492,17768700,up,0.0,40.01010222938429,-0.014004987361586745,1.2527210425299202,1.2527210425299202
2016-02-01,TEST_TICKER,0,0,0,36.109939662659045,36.58998398891236,35.00983892944921,36.26328659057617,11693300,up,0.0,46.975445846479005,-0.05055120050129355,0.748014825240837,0.748014825240837
2016-02-02,TEST_TICKER,1,1,1,35.76324241801964,36.52331093018035,35.54988994244337,35.96992874145508,7918300,up,0.0,47.70441343955189,-0.0807841321401921,0.22085138215344813,0.22085138215344813
2016-02-03,TEST_TICKER,0,0,0,36.356626219267554,38.123453967546304,36.036597531698035,37.896766662597656,16435700,up,0.0,45.61617079953148,-0.034386640137623575,-0.3589867212824984,-0.3589867212824984
2016-02-04,TEST_TICKER,0,0,0,37.83009344806285,38.210127658191375,36.91000941879081,37.84342575073242,10351200,up,0.0,54.00900166765999,-0.010448706606999885,-0.8023398772985075,-0.8023398772985075
2016-02-05,TEST_TICKER,0,0,0,37.50339450254142,37.56340003547996,35.08317473183613,35.41653823852539,13263200,up,0.0,59.76436885747472,-0.07456457495344343,-1.1021791045736435,-1.1021791045736435
2016-02-08,TEST_TICKER,0,0,0,35.05651126971746,36.069934198434794,34.62980379987198,35.2631950378418,9369400,up,0.0,59.526442038284614,-0.11244864663713526,-1.435489239297489,-1.435489239297489
2016-02-09,TEST_TICKER,0,0,0,34.87649709830956,35.963260489375166,34.7098153157503,35.65656661987305,7655800,up,-0.0030553289657164998,61.209478357689555,-0.12021224444825172,-1.7726079756122886,-1.7726079756122886
2016-02-10,TEST_TICKER,0,0,0,36.076599079087515,36.4632994240657,35.03650402323421,35.14984893798828,9302800,up,-0.09657999585540722,68.222805066803,-0.14074417453087365,-2.017662360760326,-2.017662360760326
2016-02-11,TEST_TICKER,1,1,0,34.86982816770366,35.41654420734422,34.54979945255032,34.78982162475586,8551100,up,-0.21681336415601354,67.48632124248883,-0.1620072678916368,-2.2262180184999423,-2.2262180184999423
2016-02-12,TEST_TICKER,0,0,0,35.023176347826904,35.316537921345905,34.40311989535005,35.056514739990234,9976200,up,-0.3009133626201614,69.4443302191101,-0.1637087520551111,-2.3982184351921063,-2.3982184351921063
2016-02-16,TEST_TICKER,1,0,0,35.629892572991444,35.91658540745026,35.15651697874059,35.67656326293945,8313000,up,-0.3120203370399339,64.4367039522079,-0.1420185824390414,-2.4975109908508983,-2.4975109908508983
2016-02-17,TEST_TICKER,1,0,1,36.22994890185231,36.76999874142461,35.5698879868195,36.67665481567383,10005600,up,-0.245037995995,57.23334292304979,-0.09359877044212585,-2.5447280906955783,-2.4975109908508983
2016-02-18,TEST_TICKER,0,0,0,37.02335300157326,37.02335300157326,36.11660378878247,36.36996078491211,6555000,up,-0.17738726633621996,56.14167251906128,-0.0733628961208237,-2.452323554581106,-2.452323554581106
2016-02-19,TEST_TICKER,1,0,0,36.33662921578848,36.66999278657553,35.98993079696648,36.19661712646485,8532500,up,-0.13064362852986888,58.95960810325371,-0.06322624796895626,-2.299909213065554,-2.299909213065554
2016-02-22,TEST_TICKER,0,0,0,36.19661951951946,36.883347706866296,35.829920076082665,36.8566780090332,9381800,up,-0.054992152420095086,58.757440238683934,-0.03185343048938837,-2.1722667175072417,-2.1722667175072417
2016-02-23,TEST_TICKER,0,0,0,37.13669831219089,37.54340223187828,36.669988854461714,36.71665954589844,8629700,up,0.03838361586317757,68.41553494073193,-0.015595935595003056,-1.9814232967710836,-1.9814232967710836
2016-02-24,TEST_TICKER,0,0,0,36.44330604478603,36.716664075508056,36.00993237842469,36.59665298461914,6633800,up,0.07384809788701813,83.40577845483568,-0.006894831417327789,-1.8171761811735223,-1.8171761811735223
2016-02-25,TEST_TICKER,0,0,0,36.783327891917,37.490059437570615,36.28995132918812,37.47005844116211,7076300,up,0.14744680502037966,81.53992169203539,0.029443937216005203,-1.7096098896110945,-1.7096098896110945
2016-02-26,TEST_TICKER,0,0,0,37.510063616333355,37.86343069082068,37.2033697763618,37.33671569824219,5298000,up,0.207344604714499,81.65850784908596,0.04693334731308986,-1.5388292840540103,-1.5388292840540103
2016-02-29,TEST_TICKER,0,0,0,37.25004440271304,37.336719642596194,36.31662793766544,36.409969329833984,8395100,up,0.18971851158630276,76.04983857808548,0.027887118894917778,-1.352070544777753,-1.352070544777753
2016-03-01,TEST_TICKER,1,1,0,36.52331262376417,37.56340789794922,36.16328189413595,37.56340789794922,7106000,up,0.21565113502368405,70.62542381422386,0.05591381327087481,-1.2845655926605133,-1.352070544777753
2016-03-02,TEST_TICKER,0,0,0,37.4500635283636,37.62341401504253,36.93668585096488,37.13670349121094,7054800,up,0.20359210978543274,71.78443088450462,0.05645629749346525,-1.1701388635005898,-1.1701388635005898
2016-03-03,TEST_TICKER,0,0,0,37.13004246471995,37.39673440237631,36.77001165525554,37.29005813598633,9283900,up,0.15907521774931865,71.1677299996676,0.061434990910222365,-1.0528009075447073,-1.0528009075447073
2016-03-04,TEST_TICKER,0,0,0,37.33671934413569,37.80342884460982,36.87000984366155,37.436729431152344,6439700,up,0.11845014872241204,73.6812063945682,0.06863460439043408,-0.864822788676328,-0.864822788676328
2016-03-07,TEST_TICKER,0,0,0,37.13670311014712,37.67008432645096,36.556651196376826,37.60341262817383,7741800,up,0.08446665661764048,70.7242199933752,0.07761383104291868,-0.6576738507976714,-0.6576738507976714
2016-03-08,TEST_TICKER,1,0,0,37.45672457835025,37.650076026576855,36.82333339406135,36.883338928222656,5303700,up,0.05218331812737947,62.325749583366424,0.05742196750442291,-0.4000770119372774,-0.4000770119372774
2016-03-09,TEST_TICKER,0,0,0,37.01002016312983,37.770091192757306,36.696660155944464,37.59674072265625,8402500,up,0.028647455706158256,58.03788203358059,0.06792050843608334,-0.2008698614346045,-0.2008698614346045
2016-03-10,TEST_TICKER,1,0,0,37.71009537804456,38.25014284001257,36.88335244260326,37.49007415771485,5627900,up,0.015001834782285388,59.54695966378951,0.06764437791105604,0.01734117022749615,0.01734117022749615
