time,stock_name,bias_index,into,inth,intl,intc,v,STX,ImpulseHisto,psi,smooth_velocity,macd,b5,rel_vol
2023-10-27,AAPL,0.0561143682747173,283.26706597611474,284.34414248872787,279.9000359025253,281.43316650390625,1480300,down,-2.8916233732059213,33.819152063752355,-0.36431199455640373,-4.028818534936079,-4.028818534936079,0.768614085425565
2023-10-30,AAPL,0.1261783339639406,283.08274843730925,285.1010420353741,281.0644844512283,284.0142822265625,1843500,down,-3.051273440479526,33.75624719771179,-0.34204891747171434,-5.491108525158722,-5.491108525158722,0.9587271473459874
2023-10-31,AAPL,0.1369373182523881,284.3829421476181,288.45832048532304,284.3829421476181,288.2739562988281,1953400,down,-2.7783901913261135,33.37531582434525,-0.2730816604243819,-6.772830598685687,-6.772830598685687,1.0066571089038703
2023-11-01,AAPL,0.1841910661839191,289.32192312666666,293.212907650582,289.32192312666666,291.7186279296875,1973000,down,-2.1220423514890476,29.86391834091942,-0.18718414235785905,-7.544119711085045,-7.544119711085045,1.0080995407603308
2023-11-02,AAPL,0.2716827948662533,294.6587238398554,299.71411082404046,292.35902779438476,298.9766540527344,2152800,up,-0.992882714545595,28.209679323887578,-0.04813283235354917,-7.609244795453378,-7.544119711085045,1.0925245701305568
2023-11-03,AAPL,0.2931183650569999,300.4516177315153,307.33122233251737,299.84030789665854,304.1873474121094,2145600,up,0.4349762112763451,23.753620832017248,0.09553971959545654,-6.762389621136265,-6.762389621136265,1.0881185327033984
2023-11-06,AAPL,0.2308230749280543,303.05199350793976,304.8567842849246,301.80997835470953,303.79913330078125,1426200,up,1.4811169763265628,27.538747878870527,0.1786398977104327,-5.363801442424801,-5.363801442424801,0.7234680201974496
2023-11-07,AAPL,0.1909590745952025,303.7118684224642,308.9225113951816,303.4304657482256,305.8368835449219,1860400,up,2.4536791168672116,36.25737883723349,0.25325463657333086,-3.602493293654618,-3.602493293654618,0.9377876397935698
2023-11-08,AAPL,0.1460309294200689,307.4670034919003,309.98014271409687,306.02122812769755,308.3888244628906,1815000,up,3.2561229363696054,43.81554741545036,0.3250649370591559,-1.7327078296606828,-1.7327078296606828,0.9122354140342518
2023-11-09,AAPL,0.0960211414978411,307.86485387256465,307.97160506900616,304.1485204732297,304.8956604003906,1574900,up,3.034937376152508,41.26618394407937,0.3267105548703749,0.26381525618023716,0.26381525618023716,0.7907283597796464
