time,stock_name,bias_index,into,inth,intl,intc,v,STX,ImpulseHisto,psi,smooth_velocity,macd,b5,rel_vol
2016-02-10,A,-0.1932268952854912,36.076599079087515,36.4632994240657,35.03650402323421,35.14984893798828,9302800,up,-0.09657999585540722,68.222805066803,-0.3623657161179006,-2.017662360760326,-2.017662360760326,0.9751513964786875
2016-02-11,A,0.7371140564989216,34.86982816770366,35.41654420734422,34.54979945255032,34.78982162475586,8551100,up,-0.21681336415601354,67.48632124248883,-0.4218109164397934,-2.2262180184999423,-2.2262180184999423,0.9041444668718617
2016-02-12,A,-0.1328766017907234,35.023176347826904,35.316537921345905,34.40311989535005,35.056514739990234,9976200,up,-0.3009133626201614,69.4443302191101,-0.42717941278021776,-2.3982184351921063,-2.3982184351921063,1.0577662832941592
2016-02-16,A,-0.1096171714838494,35.629892572991444,35.91658540745026,35.15651697874059,35.67656326293945,8313000,up,-0.3120203370399339,64.4367039522079,-0.36772498627781447,-2.4975109908508983,-2.4975109908508983,0.8802056333160532
2016-02-17,A,-0.09480234816343,36.22994890185231,36.76999874142461,35.5698879868195,36.67665481567383,10005600,up,-0.245037995995,57.23334292304979,-0.2345416564497104,-2.5447280906955783,-2.4975109908508983,1.0587414419564072
2016-02-18,A,-0.084354743074125,37.02335300157326,37.02335300157326,36.11660378878247,36.36996078491211,6555000,up,-0.17738726633621996,56.14167251906128,-0.17986124340545867,-2.452323554581106,-2.452323554581106,0.6939001571358342
2016-02-19,A,-0.0572150345767597,36.33662921578848,36.66999278657553,35.98993079696648,36.19661712646485,8532500,up,-0.13064362852986888,58.95960810325371,-0.15336422442668043,-2.299909213065554,-2.299909213065554,0.9020093798404049
2016-02-22,A,-0.0830567931779882,36.19661951951946,36.883347706866296,35.829920076082665,36.8566780090332,9381800,up,-0.054992152420095086,58.757440238683934,-0.06848102130085063,-2.1722667175072417,-2.1722667175072417,0.9866078433104627
2016-02-23,A,-0.0833463889016284,37.13669831219089,37.54340223187828,36.669988854461714,36.71665954589844,8629700,up,0.03838361586317757,68.41553494073193,-0.025395312935614478,-1.9814232967710836,-1.9814232967710836,0.9029164692667101
2016-02-24,A,-0.0187111952669501,36.44330604478603,36.716664075508056,36.00993237842469,36.59665298461914,6633800,up,0.07384809788701813,83.40577845483568,-0.00318859185529958,-1.8171761811735223,-1.8171761811735223,0.6942373216240829
2016-02-25,A,0.0418384238586593,36.783327891917,37.490059437570615,36.28995132918812,37.47005844116211,7076300,up,0.14744680502037966,81.53992169203539,0.09496189568372887,-1.7096098896110945,-1.7096098896110945,0.7441470833321064
2016-02-26,A,0.0411764428984628,37.510063616333355,37.86343069082068,37.2033697763618,37.33671569824219,5298000,up,0.207344604714499,81.65850784908596,0.14163573354803455,-1.5388292840540103,-1.5388292840540103,0.5620119390939451
2016-02-29,A,-0.0032086000616347,37.25004440271304,37.336719642596194,36.31662793766544,36.409969329833984,8395100,up,0.18971851158630276,76.04983857808548,0.08878221847048946,-1.352070544777753,-1.352070544777753,0.8879054649480885
2016-03-01,A,-0.054992645189295,36.52331262376417,37.56340789794922,36.16328189413595,37.56340789794922,7106000,up,0.21565113502368405,70.62542381422386,0.16446983137759483,-1.2845655926605133,-1.352070544777753,0.7502572476476067
2016-03-02,A,-0.0347485905006499,37.4500635283636,37.62341401504253,36.93668585096488,37.13670349121094,7054800,up,0.20359210978543274,71.78443088450462,0.16525996296437054,-1.1701388635005898,-1.1701388635005898,0.7461026006352257
2016-03-03,A,-0.0173042386078141,37.13004246471995,37.39673440237631,36.77001165525554,37.29005813598633,9283900,up,0.15907521774931865,71.1677299996676,0.17795434100253357,-1.0528009075447073,-1.0528009075447073,0.9913322628310252
2016-03-04,A,0.0448858438560122,37.33671934413569,37.80342884460982,36.87000984366155,37.436729431152344,6439700,up,0.11845014872241204,73.6812063945682,0.19668467594781722,-0.864822788676328,-0.864822788676328,0.6848977061877435
2016-03-07,A,0.0664898395247845,37.13670311014712,37.67008432645096,36.556651196376826,37.60341262817383,7741800,up,0.08446665661764048,70.7242199933752,0.22027890916971674,-0.6576738507976714,-0.6576738507976714,0.8245214893402657
2016-03-08,A,0.0804847184194687,37.45672457835025,37.650076026576855,36.82333339406135,36.883338928222656,5303700,up,0.05218331812737947,62.325749583366424,0.16507506876996897,-0.4000770119372774,-0.4000770119372774,0.566463223947626
2016-03-09,A,0.0565788792248859,37.01002016312983,37.770091192757306,36.696660155944464,37.59674072265625,8402500,up,0.028647455706158256,58.03788203358059,0.19269559282484428,-0.2008698614346045,-0.2008698614346045,0.8856087549684732
2016-03-10,A,0.0002788837348387,37.71009537804456,38.25014284001257,36.88335244260326,37.49007415771485,5627900,up,0.015001834782285388,59.54695966378951,0.19119299987755772,0.01734117022749615,0.01734117022749615,0.5931181474824807
2016-03-11,A,0.043157924046662,37.603408566903646,38.58349565120919,37.570070178003455,38.49015426635742,6537400,up,0.003633920332728419,51.317287883729335,0.2718780474931136,0.18059418769571067,0.18059418769571067,0.6868505944986392
2016-03-14,A,0.10913110055799,38.45015319608021,38.49015774035393,37.98344622969792,38.14345932006836,4650800,up,0.0,54.73904256451839,0.27749932976923636,0.36012038910219246,0.36012038910219246,0.4892207958600316
2016-03-15,A,0.0960207623253645,37.770093258674336,37.95677604281384,36.75666770710158,37.0833625793457,5779600,up,0.0,46.25426092996638,0.18123770127496833,0.5554345969638277,0.5554345969638277,0.608376257704966
