time,stock_name,bias_index,intc,v,iso_forest_outlier,iso_forest_score,smooth_velocity,psi
2020-03-13,AAPL,-0.4039862856124891,153.12681579589844,5742800,-1.0,-0.14190929073112735,-1.301234904347988,13.789784158354143
2020-03-16,AAPL,-0.0057966922607132,140.27963256835938,5324900,-1.0,-0.10452578245337618,-1.449738797054989,13.262157831624592
2025-05-07,AAPL,-0.9181321112513092,304.5667419433594,2647700,-1.0,-0.1038934579125027,0.3590555973387008,77.33013695671369
2025-02-10,AAPL,-0.6561748845457913,383.0651550292969,1771300,-1.0,-0.10257016951556419,0.5313705406095784,22.224636982012957
2020-03-17,AAPL,0.0279900699290384,145.0341339111328,6081100,-1.0,-0.10252435064578802,-1.386052884469438,19.71049787227989
2020-03-12,AAPL,-0.1426928482884661,140.27049255371094,6357900,-1.0,-0.10136101788162699,-1.460959732497085,11.714317737488493
2020-03-18,AAPL,-0.0259415190601382,139.00135803222656,5860200,-1.0,-0.09539750905992983,-1.4412734885390586,26.507427794921732
2025-03-13,AAPL,-0.3652222999442296,313.9353942871094,3667400,-1.0,-0.09019789999875694,-0.9050983562290345,23.977499381980227
2020-03-23,AAPL,0.0563858481911249,132.14097595214844,6173700,-1.0,-0.08985769279661593,-1.4175362558383875,50.46214607849445
2022-01-24,AAPL,-0.0989655094657539,320.26617431640625,4544500,-1.0,-0.08888462909125772,-0.922056993268456,36.792647551887384
2022-01-21,AAPL,-0.1429696801890729,317.0823669433594,2830700,-1.0,-0.08857157745780142,-0.9313076711912562,33.81998738077185
2020-03-20,AAPL,0.0410695613657414,137.88865661621094,6449700,-1.0,-0.08161457029280916,-1.317611447515531,50.71759724598987
2025-03-05,AAPL,-0.6788126099133829,344.8170471191406,2578500,-1.0,-0.08152797487243113,-0.6180204768820474,41.84191752424228
2025-03-20,AAPL,-0.028995008927543,297.9351501464844,10699500,-1.0,-0.07714922965609838,-0.8580413739157623,60.73690053817688
2020-03-11,AAPL,-0.1895356560674727,151.83938598632812,5188300,-1.0,-0.07513725335048527,-1.2024698964052318,10.505150569791738
2025-03-21,AAPL,0.0349524659418087,302.30157470703125,11735300,-1.0,-0.07500489097254348,-0.8753648403542406,49.102383617662205
2020-03-19,AAPL,-0.0207248708424772,145.7606658935547,6338300,-1.0,-0.0734744170896734,-1.278095167005979,37.54064903335291
2020-03-24,AAPL,0.0547073060471231,144.24325561523438,4685100,-1.0,-0.07280876562182992,-1.1513334694722073,43.86684801974927
2020-03-25,AAPL,0.0887595047246797,139.61753845214844,4795500,-1.0,-0.07119020656993413,-1.0715288269769463,52.844105309643446
2025-02-07,AAPL,0.2676179645142432,382.16412353515625,2437400,-1.0,-0.07045815307892411,0.5778018596696674,21.286802333280587
2025-02-06,AAPL,0.2535603658368899,383.51068115234375,2828000,-1.0,-0.06746367812758458,0.6418397211958878,20.409602530140948
2022-01-20,AAPL,-0.1590194832647206,323.7522888183594,2817300,-1.0,-0.06722658269958548,-0.8542851334534353,38.87263193707574
2025-08-12,AAPL,0.0455365649923875,237.8699951171875,4832300,-1.0,-0.0665117127194711,-1.025000750815902,26.67175212835355
2022-01-25,AAPL,0.0018072152182139,316.4399719238281,3625400,-1.0,-0.06639445195294846,-0.9326381630522228,34.89333064932072
2025-03-24,AAPL,0.0638122033298012,304.1431579589844,3793200,-1.0,-0.06539924178922152,-0.8432082031248521,46.17737537181613
2025-03-03,AAPL,-0.4372987562923167,341.579345703125,3011100,-1.0,-0.0642462254227929,-0.6003560616860764,40.02526521214624
2020-04-01,AAPL,-0.6160891220085485,142.2476348876953,2973100,-1.0,-0.0635402959765895,-0.2671080734443651,52.15842742504474
2020-03-09,AAPL,-0.1770156002973623,150.9197235107422,5112200,-1.0,-0.060798308623949415,-1.159004690104943,8.985265220128156
2025-01-16,AAPL,-0.8722404651381943,347.09429931640625,2025800,-1.0,-0.06040368108018823,-0.1282388241737784,74.70543547896884
2025-03-19,AAPL,0.0184715194676698,321.26220703125,4314100,-1.0,-0.059651393835290056,-0.6899779473242038,69.01488128668417
2025-08-11,AAPL,0.0064528769453337,238.61000061035156,4675000,-1.0,-0.05841298749829116,-1.031635775452241,24.913675639336745
2025-03-14,AAPL,0.0745131878062423,315.6680908203125,4086000,-1.0,-0.055312974056334396,-0.9071107533986876,30.725592694029313
2022-01-26,AAPL,-0.0201125770335599,311.65960693359375,4422200,-1.0,-0.05528059016126363,-0.9587479627403198,34.43954054813688
2020-03-10,AAPL,-0.0929160989591922,160.52981567382812,4349500,-1.0,-0.05468289050047881,-1.0909998627444375,8.837277286075903
2022-09-01,AAPL,-0.6902848518423574,274.6166076660156,2021400,-1.0,-0.053125600662560446,-0.4496312642087745,22.421620386026405
2025-03-17,AAPL,0.0760450754930038,322.4899597167969,3518100,-1.0,-0.05237751302069582,-0.8161497687956281,36.626473311345805
2025-02-05,AAPL,0.2799555746385284,394.3128051757813,3463400,-1.0,-0.04972113958966484,0.7085142827786958,24.38274961467372
2025-08-13,AAPL,-0.0302074298917736,245.67999267578125,5278400,-1.0,-0.049670056038175314,-0.8920178844157575,25.899143879452915
2025-05-01,AAPL,-0.2349697397039823,299.034423828125,2848600,-1.0,-0.04812492912353017,0.1553037389742626,87.52953897064636
2025-08-08,AAPL,-0.0246015559566436,239.1999969482422,3810900,-1.0,-0.047018459216373154,-1.0152598880640022,25.423843266169474
2020-04-20,AAPL,-0.3082822840494614,161.4204559326172,2511700,-1.0,-0.04563797714841944,0.5944515726186523,77.78713933935131
