Metric,Sample Size,Mean Media Change (10 Days),T-Statistic,P-Value,Verdict (95% Conf.)
Positive Price Shock (>2%),69248,0.003291176678499851,2.8398238308362544,0.002257580242386239,Significant
Negative Price Shock (<-2%),64112,0.005229247782257108,4.3742180509465864,6.103023349155724e-06,Significant
