time,stock_name,bias_index,log_returns,dbscan_cluster
2016-02-11,AAPL,0.7371140564989216,-0.008313654549271805,-1.0
2020-03-02,AAPL,0.5488389892126067,0.048423802455920914,-1.0
2020-03-09,AAPL,-0.1770156002973623,-0.08545116679584024,-1.0
2020-03-10,AAPL,-0.0929160989591922,0.061731629686483484,-1.0
2020-03-11,AAPL,-0.1895356560674727,-0.05565640172246033,-1.0
2020-03-12,AAPL,-0.1426928482884661,-0.07925064283906866,-1.0
2020-03-13,AAPL,-0.4039862856124891,0.08769379129352234,-1.0
2020-03-16,AAPL,-0.0057966922607132,-0.08762863349223678,-1.0
2020-03-24,AAPL,0.0547073060471231,0.08763179714345423,-1.0
2020-03-26,AAPL,0.1431088398395041,0.12095441577477328,-1.0
2020-04-01,AAPL,-0.6160891220085485,-0.05398593614684067,-1.0
2020-02-27,AAPL,-0.1494830451345219,-0.048320015477061384,-1.0
2020-04-06,AAPL,0.1583894627262957,0.0874219311985957,-1.0
2020-04-27,AAPL,0.6963629965598943,0.022373704443199603,-1.0
2020-05-18,AAPL,0.2604897063368525,0.047110785069634425,-1.0
2020-06-11,AAPL,0.1429883667691227,-0.06653010804620457,-1.0
2020-06-25,AAPL,-0.0647513645473983,0.07389584130487123,-1.0
2020-09-24,AAPL,-0.0831180785950533,-0.07296460139135866,-1.0
2020-10-02,AAPL,0.6262953103359699,-0.012422575726845521,-1.0
2020-12-17,AAPL,-0.0340765371639079,0.06651933177430137,-1.0
2021-01-11,AAPL,-0.430799235390638,-0.014528166556837432,-1.0
2021-03-11,AAPL,-0.2385865144224716,0.03526555211730471,-1.0
2021-04-12,AAPL,-0.7263096668272864,-0.0005909634568742662,-1.0
2020-04-09,AAPL,-0.16172765111589,0.03541058828514668,-1.0
2020-02-19,AAPL,-0.929569652948953,0.010054067893049586,-1.0
2019-11-29,AAPL,-0.4850420477125503,-0.0004473643699225886,-1.0
2019-09-24,AAPL,0.7120021497863056,-0.014100012840712706,-1.0
2016-10-17,AAPL,0.6945388199254476,-0.011909714618308708,-1.0
2016-11-02,AAPL,-0.489293299542197,0.021044315471011567,-1.0
2016-11-09,AAPL,0.7249792437966018,-0.021939866667114578,-1.0
2016-11-17,AAPL,-0.6408004371198082,0.00891020025879168,-1.0
2016-12-21,AAPL,-0.2034562718160743,-0.05125088598419334,-1.0
2017-06-22,AAPL,0.2509561208493227,-0.040376143614689025,-1.0
2017-07-20,AAPL,-0.9006770170805622,0.005930163700577145,-1.0
2017-09-28,AAPL,-0.8087186079525681,-0.0023446295793472043,-1.0
2017-10-10,AAPL,-0.5023619459601363,0.0038610657187453192,-1.0
2017-12-07,AAPL,0.8884176766922152,0.0022230304581172013,-1.0
2018-01-26,AAPL,0.5838712459275281,0.010886553819456149,-1.0
2018-02-21,AAPL,-0.537284715481182,-0.006088767832680219,-1.0
2018-03-12,AAPL,0.6102337026323554,0.0011135659824922657,-1.0
2018-03-22,AAPL,-0.0430891626233997,-0.07561410391583234,-1.0
2018-06-28,AAPL,-0.1758008895651805,0.05729446179947766,-1.0
2018-08-15,AAPL,-0.4568990896450287,-0.005160603268447968,-1.0
2018-08-16,AAPL,0.6040765405657371,0.015341991074831376,-1.0
2018-09-05,AAPL,-0.7715257228172083,-0.005087128781896704,-1.0
2018-10-26,AAPL,0.7019037988136001,-0.01586562053257915,-1.0
2018-12-20,AAPL,0.218297404708477,-0.05068014709159986,-1.0
2018-12-21,AAPL,0.1916080154374363,-0.04489473221932003,-1.0
2019-01-14,AAPL,-0.4695829260063417,-0.008929725213671804,-1.0
2019-04-02,AAPL,-0.8737872617689075,-0.00540248553567517,-1.0
2021-06-01,AAPL,0.6913346981975428,-0.004546545041407613,-1.0
2021-06-23,AAPL,-0.5970721578929341,0.00013990700141065248,-1.0
2021-08-19,AAPL,0.7213356435777702,0.011335787613801824,-1.0
2021-08-25,AAPL,-0.6708014526008506,0.007616515512991955,-1.0
2023-09-28,AAPL,0.27296551169711,-0.044256687209036416,-1.0
2023-10-11,AAPL,-0.5819259252281554,0.004843151561627644,-1.0
2023-12-19,AAPL,0.9910219360317328,-0.0009949440381225721,-1.0
2024-01-25,AAPL,0.704424782403348,0.008207060134507902,-1.0
2024-03-21,AAPL,-0.1294735023810404,-0.09769707995316984,-1.0
2024-05-10,AAPL,-0.9788977550996204,-0.0009136414940256888,-1.0
2024-05-22,AAPL,0.72159787383099,0.01136305063462593,-1.0
2024-06-20,AAPL,-0.0799022500493494,0.070391195508121,-1.0
2024-11-22,AAPL,-0.7988745358331113,-0.006641576420522216,-1.0
2024-12-19,AAPL,-0.1549762153797368,0.06824264467786045,-1.0
2024-12-30,AAPL,0.6899417072802028,-0.01041388849735802,-1.0
2025-01-16,AAPL,-0.8722404651381943,0.0066111964187692855,-1.0
2025-02-10,AAPL,-0.6561748845457913,0.002354933183518092,-1.0
2025-03-03,AAPL,-0.4372987562923167,-0.010122833831202216,-1.0
2025-03-05,AAPL,-0.6788126099133829,0.007146659869964112,-1.0
2025-03-13,AAPL,-0.3652222999442296,-0.022638869826625174,-1.0
2025-03-20,AAPL,-0.028995008927543,-0.07538178816306704,-1.0
2025-04-04,AAPL,-0.0197892748526696,-0.05593771750951009,-1.0
2025-04-09,AAPL,-0.0005712800226356,0.06384072612415212,-1.0
2025-05-07,AAPL,-0.9181321112513092,0.007509556964812557,-1.0
2025-06-20,AAPL,-0.2914602875446196,-0.07103961888036671,-1.0
2025-06-23,AAPL,-0.3381354462963984,0.03318882649659928,-1.0
