time,stock_name,bias_index,log_returns,dbscan_cluster
2016-02-11,A,0.7371140564989216,-0.010295458656447072,-1.0
2018-12-26,A,0.2545726614893817,0.056365997377848566,-1.0
2019-01-14,A,-0.4695829260063417,-0.028839150258270625,-1.0
2019-01-25,A,0.0238508274454308,-0.06419701159272229,-1.0
2019-04-02,A,-0.8737872617689075,0.027954292274903994,-1.0
2019-06-25,A,0.3580994392235569,-0.17736272616262105,-1.0
2019-06-26,A,0.37683577768363,0.034408902186444726,-1.0
2019-09-24,A,0.7120021497863056,0.0002739803046669427,-1.0
2019-11-29,A,-0.4850420477125503,-0.006816077215382996,-1.0
2020-02-07,A,0.1142686712178258,0.05696069666844442,-1.0
2020-02-19,A,-0.929569652948953,0.0056453924619938025,-1.0
2020-03-02,A,0.5488389892126067,0.03417764428168701,-1.0
2020-03-04,A,-0.1357803129102964,0.04662929050454098,-1.0
2020-03-12,A,-0.1426928482884661,-0.076386155929155,-1.0
2020-03-13,A,-0.4039862856124891,0.08249598753619841,-1.0
2020-03-16,A,-0.0057966922607132,-0.1392882367512205,-1.0
2020-03-23,A,0.0563858481911249,-0.06482916854199737,-1.0
2020-03-26,A,0.1431088398395041,0.08358161492426089,-1.0
2020-04-01,A,-0.6160891220085485,-0.037033936580927164,-1.0
2020-04-27,A,0.6963629965598943,0.013073889065494459,-1.0
2018-11-30,A,-0.0939604274255813,0.04735361949093965,-1.0
2020-10-02,A,0.6262953103359699,-0.011774073765195922,-1.0
2018-10-26,A,0.7019037988136001,-0.01156782187848979,-1.0
2018-08-16,A,0.6040765405657371,0.007870487535171646,-1.0
2016-09-16,A,-0.7272593450648683,-0.0012633074536023356,-1.0
2016-10-17,A,0.6945388199254476,-0.0004989477968347471,-1.0
2016-10-28,A,-0.0653075623318758,-0.06486433030474811,-1.0
2016-11-02,A,-0.489293299542197,0.006005316088412138,-1.0
2016-11-07,A,-0.0218897749308289,0.04994527274857594,-1.0
2016-11-09,A,0.7249792437966018,0.0630921472149208,-1.0
2016-11-17,A,-0.6408004371198082,0.002596495428562305,-1.0
2017-07-20,A,-0.9006770170805622,0.016896447624656325,-1.0
2017-09-07,A,-0.0460647181024652,0.05957780035428178,-1.0
2017-09-28,A,-0.8087186079525681,0.04848090321836694,-1.0
2017-10-10,A,-0.5023619459601363,0.004286882729707062,-1.0
2017-12-07,A,0.8884176766922152,-0.0016965489362103642,-1.0
2018-01-26,A,0.5838712459275281,0.1289848847244404,-1.0
2018-02-21,A,-0.537284715481182,-0.0005934179787372692,-1.0
2018-03-12,A,0.6102337026323554,-0.008333740652435927,-1.0
2018-03-22,A,-0.0430891626233997,-0.13652133126547086,-1.0
2018-04-26,A,0.1562439944817735,0.05886184667523055,-1.0
2018-05-01,A,-0.0454469350400303,0.05559776350088073,-1.0
2018-08-15,A,-0.4568990896450287,0.015824814868297506,-1.0
2018-09-05,A,-0.7715257228172083,0.0066405231848803495,-1.0
2016-08-12,A,0.4923592771045446,0.003578297835167214,-1.0
2020-10-30,A,0.2782956652003439,0.053460055639092695,-1.0
2021-01-11,A,-0.430799235390638,0.016182353804250444,-1.0
2024-01-25,A,0.704424782403348,0.005526154624255502,-1.0
2024-05-10,A,-0.9788977550996204,0.002179773259549047,-1.0
2024-05-22,A,0.72159787383099,-0.020587045987170052,-1.0
2024-10-30,A,0.0461445029773741,0.0616642469420744,-1.0
2024-11-11,A,0.0695091265265806,-0.13429070750380023,-1.0
2024-11-22,A,-0.7988745358331113,0.029943699395675618,-1.0
2024-12-30,A,0.6899417072802028,-0.010220045901894037,-1.0
2025-01-16,A,-0.8722404651381943,0.013621447371134852,-1.0
2025-01-31,A,0.1958427004040379,0.045898832667314676,-1.0
2025-02-10,A,-0.6561748845457913,-0.0013651307372082415,-1.0
2025-03-03,A,-0.4372987562923167,0.011652748991663,-1.0
2025-03-05,A,-0.6788126099133829,0.018030614296160555,-1.0
2025-04-04,A,-0.0197892748526696,-0.07558927550351255,-1.0
2025-05-06,A,-0.2172460151950621,-0.0465613843265714,-1.0
2025-05-07,A,-0.9181321112513092,0.0050101236147064195,-1.0
2025-06-17,A,-0.2794665561408929,-0.028593160743424818,-1.0
2025-09-18,A,0.4868703479123888,0.005329734445757325,-1.0
2025-10-01,A,0.1013627831922333,0.053971788416987375,-1.0
2025-11-12,A,-0.6324306697841977,0.03516940848390076,-1.0
2023-12-19,A,0.9910219360317328,0.0011727772456670818,-1.0
2020-11-04,A,0.2059714651223431,0.07171766064829063,-1.0
2023-10-11,A,-0.5819259252281554,0.003017748806225713,-1.0
2023-07-27,A,0.8124670388702773,0.04781644126148258,-1.0
2021-04-12,A,-0.7263096668272864,0.0065804343405536135,-1.0
2021-06-01,A,0.6913346981975428,-0.008783953954832488,-1.0
2021-06-23,A,-0.5970721578929341,-0.006121636053047012,-1.0
2021-08-19,A,0.7213356435777702,0.0054416839613503475,-1.0
2021-08-25,A,-0.6708014526008506,0.005998119519130823,-1.0
2021-09-01,A,0.1560958916986057,-0.07306395866346532,-1.0
2022-03-23,A,-0.4982193669317905,-0.009986344169115202,-1.0
2022-04-07,A,-0.559361802756065,0.025542560045277055,-1.0
2022-04-29,A,0.0321337280719627,-0.06222561023710181,-1.0
2022-09-01,A,-0.6902848518423574,0.029242306639064033,-1.0
2022-11-28,A,0.7696158940613018,-0.007483035327883744,-1.0
2023-01-27,A,-0.7952658308335814,-0.007627396989941716,-1.0
2023-02-07,A,-0.7734007912034646,0.0008273634852791015,-1.0
2023-02-16,A,-0.494939220727111,-0.010180220317911201,-1.0
